Username,Konten,Lokasi
PUANnews,"#Pemko Pekanbaru Segera Inventarisir Kerugian Akibat Pasar Cik ... - Riau Online 
#PuanMaharani

https://t.co/rgpXwoinl7","Gatakrejo, Nguter, Sukoharjo"
PUANnews,"#Profil Silvia Halim: Puan MRT Jakarta yang Ditunjuk Jokowi Jadi Deputi Otorita IKN - Head Topics 
#PuanMaharani

https://t.co/66RYInVFiM","Gatakrejo, Nguter, Sukoharjo"
anaknusantara17,@Lintas_Jaman Presiden @PDI_Perjuangan rasa @PartaiGolkar . CC @mohmahfudmd @puanmaharani_ri @jokowi,
JatengTV,(07) Kelebihan lainnya dari PT Peroangan adalah mendapatkan prioritas dalam mengakses berbagai program pemerintah yang dikhususkan untuk UMKM. #ptperorangan #badanhukum #badanusaha #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZUnue,"Semarang, Jawa Tengah"
rahdanim,@judaskiss69 @ramengvrl @puanmaharani_ri Emang bansat lo ye! Dri masany papa J sampai di era jokowi. Jdi cepu mulu!,Heaven
machrilmachril1,@RambaImelda @DanaPensiun22 @erickthohir @Jiwasraya @jokowi @mohmahfudmd @puanmaharani_ri @AryaSinulingga @Kiyai_MarufAmin @rahayupuspa7 @ojkindonesia @KSPgoid Kita harus semangat; yang kita perjuangkan Bukan Hanya hak Nasabah tetapi juga ke wibawa an Hukum dan Peraturan.,"Denpasar, Bali"
langitbirubth,"@PDIPerjuangan 
@msoekarnoputri 
@puanmaharani_ri 

Makin jelas anda2 semua adalah partai komunis perjuangan indonesia! 

https://t.co/YmEczRCU75",
WongRuwet2024,"saiki aku wes sadar terlalu goblok mencintaimu
RUNGKAT entek tenanan bondone rakyat mbok enggo dolanan
@PDemokrat @Gerindra @PartaiGolkar @NasDem @PDIP_JATIM @SBYudhoyono @AgusYudhoyono @ganjarpranowo @puanmaharani_ri  
@fyp
@beritajatimcom 
@liputan6dotcom 
@jawapos 
@kompascom https://t.co/2Rowc1c8eM",
kipay__,"@Askrlfess @Alitakata yang bener gini kli —&gt; puan maharani siap maju jadi capres 2024 karena dipaksa, rakyat sampai tidak bisa tidur",
RambaImelda,"@DanaPensiun22 @machrilmachril1 @erickthohir @Jiwasraya @jokowi @mohmahfudmd @puanmaharani_ri @AryaSinulingga @Kiyai_MarufAmin @rahayupuspa7 @ojkindonesia @KSPgoid mantap Pak kaosnya 👍, tetap semangat utk memperjuangkan hak nasabah",
Aniespedia,"Wacanakan terus-menerus agar PDIP akhirnya mengajukan calon yang paling lemah secara politik. Hal ini sudah dimulai oleh Refly, Rocky, Musni dan Ubedillah yang selalu mewacanakan agar PDIP mengusung Puan Maharani. #Pilpres2024 Jarnas Anies Baswedan Kadrun Khilafah PKS AHY Jokowi",Indonesia
titusthok,@CahNom81 Nitip salam Bu @puanmaharani_ri buat ibunya,
PUANnews,"#Seratusan kios di Pasar Cik Puan Pekanbaru terbakar - Elshinta 
#PuanMaharani

https://t.co/2zlu4Tr8RY","Gatakrejo, Nguter, Sukoharjo"
Ini_ajunk,Pilpres 2024: Prabowo Subianto Jelaskan Kemungkinan Berpasangan dengan Puan Maharani - Kompas TV https://t.co/UPqOvuchfv #IndonesiaKuat #BangkitBersama,jakarta
judaskiss69,@rahdanim @ramengvrl @puanmaharani_ri,
